46,Cu,Eu,s1,44.24,-0.04,0.00,1.8,4640,2451.6,14.2,215.43,60.3,3.02,1292.4,3.32,168.3,4.13,36,89,13.4,31.53,57.5,0.57,414.9,61.8,23.6,476.23,3.1,92,10,14,5,5,-0.34,1040,261.6,3.72,-88.51,-36.7,-0.68,198.4,-0.76,68.3,-0.99,-21.8,39,2.06,9.05,-24.5,0.21,387.1,59.6,2.68,124.77,0.7,-34,-2,8,-1,-1,-4.31,8.00,3.08,0.00
47,As,Au,s1,37.61,0.58,0.00,1.43,4006,2427.58,25.08,271.89,38.4,2.54,1837.1,2.83,299.74,3.12,23.3,150,19.03,39.15,29.6,0.46,367,52.6,40.06,356.83,4.7,112,10,26,8,6,-0.27,-2254,-247.58,-13.52,-122.05,4.6,-0.14,56.9,-0.05,-145.74,-0.46,2.9,18,0.59,-1.89,1.2,0.2,-267,-45,15.34,-292.03,-0.38,-46,-2,4,2,0,-4.31,8.00,3.08,0.00
48,Ge,Mo,s1,30.68,0.25,0.00,1.12,8019,4107.5,15.54,168.55,37.7,2.52,1447,2.73,216,3.53,23,129,15,32.39,10.5,0.57,197.9,17.3,67.8,924.7,4.17,74,9,20,10,10,-0.06,-1805,-1684.5,-4.9,-23.33,6.7,-0.08,77.2,0.01,24,-0.49,4.2,29,0.8,-0.53,0.9,0.07,-78.1,-17.3,-4.2,-256.1,-0.15,-10,-1,8,-2,-2,-4.31,8.00,3.08,0.00
49,As,Ag,s1,38.10,0.55,0.00,1.73,3312,2325.08,16.28,182.79,38.5,2.54,1678,2.83,202.7,3.08,23.4,149,17.39,40.12,34.3,0.56,479,66.7,39,283.03,4.09,80,9,26,7,4,-0.57,-1560,-145.08,-4.72,-32.95,4.5,-0.14,216,-0.05,-48.7,-0.42,2.8,19,2.23,-2.86,-3.5,0.1,-379,-59.1,16.4,-218.23,0.23,-14,-1,4,3,2,-4.31,8.00,3.08,0.00
50,Br,Cr,s1,44.25,0.79,0.00,2.58,3276.85,2395.95,10.31,131.9,77.1,2.32,1792.7,2.39,388.6,2.97,32.83,144,18.58,38.3,4.9,0.68,93.82,7.9,25.29,354.22,4.62,59,8,23,13,4,1.34,-2613.15,-1864.05,-4.07,27.9,53.1,-0.04,487.1,-0.11,260.6,-0.73,18.37,46,5.04,5.3,-4.9,-0.22,-93.58,-7.9,-14.71,-324.78,1.3,11,0,11,1,-2,-4.31,8.00,3.08,0.00
51,Si,Dy,s1,43.91,-0.83,0.00,1.29,5470,3368,10.88,190.59,51.6,2.7,1358.4,3.09,183.6,3.93,31.1,109,14.09,28.01,12.2,0.87,158.7,1.1,61.26,589,3.12,80,9,17,7,7,-0.77,-210,-2,-6.22,-134.41,-11.6,-0.48,214.4,-0.45,83.6,-1.05,-6.9,47,2.21,4.67,-7,0.53,137.3,-1.1,39.14,129,0.68,-52,-3,11,1,1,-4.31,8.00,3.08,0.00
52,Co,La,s1,42.98,0.13,0.00,1.81,6880,2959,15.05,197.84,48.5,2.41,1296.1,3.13,120,4.41,27.43,71,13.44,28.12,18.2,0.61,113.5,19.8,27.49,772.87,2.98,84,10,12,6,5,-0.51,-594,577,2.75,-79.98,-26.3,-0.09,219.9,-0.63,20,-1.07,-14.03,45,2.28,6,7.8,0.23,86.5,16,4.89,-26.27,0.78,-30,-2,6,0,-1,-4.31,8.00,3.08,0.00
53,N,Ir,s1,20.72,-1.81,0.00,2.34,4777.34,2783.15,23.85,206.23,36.4,2.02,2282.3,2.28,143,2.62,25.84,142,23.63,45.6,246.4,1.17,147.03,21.3,26.72,566.37,5.24,84,8,24,8,7,1.08,-4622.66,-2656.85,-21.35,-178.21,8.8,-0.52,522.3,-0.44,-157,-1.12,8.76,22,5.43,13.6,233.6,0.91,-146.97,-21.3,-26,-560.79,0.84,-70,-4,6,2,-1,-4.31,8.00,3.08,0.00
54,K,Re,s1,56.60,8.44,4.79,2.04,6903,3791.8,21.86,225.31,90.3,3.31,1178.8,3.72,62.36,4.74,54.31,57,12.22,44.23,88.2,0.9,150.4,22.2,35.38,784,2.72,94,10,8,8,8,0.98,-4837,-3118.2,-20.14,-147.11,60.9,0.75,-341.2,0.98,34.36,0.8,36.61,-51,-3.54,19.03,75.8,0.62,54.6,10.6,-30.72,-630.2,-1.08,-56,-2,-6,-6,-6,-4.31,8.00,3.08,0.00
55,Ta,Pm,s1,48.00,1.59,0.00,1.73,9003,4608,23.87,325.95,51.2,2.97,1296,3.24,110,4.71,33.29,69,13.44,25.9,6.3,0.33,75.4,10.1,43.7,1027,2.63,134,12,8,8,8,-0.45,2457,1978,9.43,35.95,-16,-0.29,226,-0.38,10,-0.53,-11.49,27,2.34,4.1,6.3,-0.05,39.6,6.1,28.3,447,0.37,12,0,2,2,2,-4.31,8.00,3.08,0.00
